影视轮播频道,#genre#
AMC电影,http://61.221.215.25:8800/hls/43/index.m3u8
哈尔滨影视,http://111.43.126.240:9003/hls/5/index.m3u8
江苏影视,https://mgtv.ottiptv.cc/mg/626064697.m3u8?userid=5559462299&sign=8b4e834ba813fc4956be6a171217b7b1da3ba3c382bc7e742907335ca2ba880b3698b5c2a3041d39b3ebd2c3a372c16bbdc27e20ea9d0315f4a509a869f6f7895f277b373206e51a5bac4c6acaea16101f&auth_token=1b99577efa5a3442ca4c7820d6e0b4e8
IPTV经典电影,http://43.138.0.72:35455/yy/1382754187
CHC电影,http://183.237.95.108:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=0&authid=0
辽宁影视剧,http://120.76.248.139/live/bfgd/4200000070.m3u8
CHC电影,http://120.198.101.106:9901/tsfile/live/1053_1.m3u8?key=txiptv
绍兴文化影视,http://yp.qqqtv.top/1/api.php?id=%E7%BB%8D%E5%85%B4%E6%96%87%E5%8C%96%E5%BD%B1%E8%A7%86&auth=666858
东阳影视生活,http://yp.qqqtv.top/1/api.php?id=%E4%B8%9C%E9%98%B3%E5%BD%B1%E8%A7%86%E7%94%9F%E6%B4%BB&auth=666858
北京影视,http://yp.qqqtv.top/1/api.php?id=%E5%8C%97%E4%BA%AC%E5%BD%B1%E8%A7%86&auth=666858
