更新时间,#genre#
2026-01-05 08:14:38,url
央视频道,#genre#:
CCTV2,http://36.57.175.235:2000/udp/238.1.78.235:7752
CCTV3,http://36.57.175.235:2000/udp/238.1.78.170:7232
CCTV4,http://36.57.175.235:2000/udp/238.1.78.236:7760
CCTV4,http://36.57.175.204:2000/udp/238.1.78.236:7760
CCTV5+,http://36.57.175.204:2000/udp/238.1.78.237:7768
CCTV6,http://36.57.175.204:2000/udp/238.1.78.172:7248
CCTV14,http://36.57.175.235:2000/udp/238.1.78.243:7816
CCTV17,http://36.57.175.204:2000/udp/238.1.78.178:7296

卫视频道,#genre#:
东南卫视,http://36.57.175.235:2000/udp/238.1.78.22:6104
东南卫视,http://36.57.175.199:2000/udp/238.1.78.62:6368$标清
东南卫视,http://36.57.175.235:2000/udp/238.1.78.62:6368$标清
东南卫视,http://36.57.175.204:2000/udp/238.1.78.62:6368$标清
云南卫视,http://36.57.175.199:2000/udp/238.1.78.89:6584$标清
兵团卫视,http://36.57.175.235:2000/udp/238.1.78.104:6704
北京卫视,http://36.57.175.204:2000/udp/238.1.78.63:6376$标清
北京卫视,http://36.57.175.235:2000/udp/238.1.78.63:6376$标清
吉林卫视,http://36.57.175.204:2000/udp/238.1.79.48:4496
四川卫视,http://36.57.175.199:2000/udp/238.1.78.30:6168
四川卫视,http://36.57.175.199:2000/udp/238.1.78.71:6440$标清
天津卫视,http://36.57.175.204:2000/udp/238.1.78.20:6088
天津卫视,http://36.57.175.204:2000/udp/238.1.78.91:6600$标清
安徽卫视,http://36.57.175.199:2000/udp/238.1.79.27:4328
安徽卫视,http://36.57.175.204:2000/udp/238.1.78.150:7072
安徽卫视,http://36.57.175.235:2000/udp/238.1.78.150:7072
安徽卫视,http://36.57.175.199:2000/udp/238.1.78.150:7072
山东卫视,http://36.57.175.199:2000/udp/238.1.78.66:6400$标清
山西卫视,http://36.57.175.199:2000/udp/238.1.78.95:6632$标清
广东卫视,http://60.168.108.235:4000/udp/238.1.78.68:6416$标清
江苏卫视,http://36.57.175.204:2000/udp/238.1.78.64:6384$标清
江西卫视,http://36.57.175.199:2000/udp/238.1.78.26:6136
河南卫视,http://36.57.175.199:2000/udp/238.1.78.69:6424$标清
河南卫视,http://36.57.175.199:2000/udp/238.1.79.65:4632
浙江卫视,http://36.57.175.204:2000/udp/238.1.78.164:7184
浙江卫视,http://36.57.175.235:2000/udp/238.1.78.65:6392$标清
浙江卫视,http://36.57.175.199:2000/udp/238.1.78.65:6392$标清
浙江卫视,http://36.57.175.199:2000/udp/238.1.78.164:7184
深圳卫视,http://36.57.175.199:2000/udp/238.1.78.156:7120
湖南卫视,http://36.57.175.204:2000/udp/238.1.78.160:7152
湖南卫视,http://36.57.175.199:2000/udp/238.1.78.67:6408$标清
甘肃卫视,http://36.57.175.204:2000/udp/238.1.79.36:4400
甘肃卫视,http://36.57.175.204:2000/udp/238.1.78.108:6736$标清
西藏卫视,http://36.57.175.235:2000/udp/238.1.78.101:6680
西藏卫视,http://36.57.175.204:2000/udp/238.1.78.101:6680
陕西卫视,http://36.57.175.204:2000/udp/238.1.78.88:6576$标清
青海卫视,http://36.57.175.204:2000/udp/238.1.78.102:6688
黑龙江卫视,http://36.57.175.235:2000/udp/238.1.78.159:7144
黑龙江卫视,http://36.57.175.199:2000/udp/238.1.78.159:7144

安徽频道,#genre#:
临泉新闻频道,http://36.57.175.204:2000/udp/238.1.78.29:6160
义安新闻综合,http://36.57.175.235:2000/udp/238.1.78.211:7560
亳州综合频道,http://36.57.175.235:2000/udp/238.1.78.128:6896
六安综合频道,http://36.57.175.235:2000/udp/238.1.78.144:7024
六安综合频道,http://36.57.175.204:2000/udp/238.1.78.144:7024
太湖新闻综合,http://36.57.175.235:2000/udp/238.1.79.12:4208
宁国新闻综合,http://36.57.175.199:2000/udp/238.1.78.216:7600
安庆新闻综合,http://36.57.175.204:2000/udp/238.1.78.117:6808
安徽影视频道,http://36.57.175.235:2000/udp/238.1.79.42:4448
安徽影视频道,http://36.57.175.204:2000/udp/238.1.79.42:4448
宣城综合频道,http://36.57.175.235:2000/udp/238.1.78.142:7008
宣城综合频道,http://36.57.175.204:2000/udp/238.1.78.142:7008
广德新闻综合,http://36.57.175.199:2000/udp/238.1.78.212:7568
广德生活频道,http://36.57.175.199:2000/udp/238.1.78.213:7576
旌德新闻综合,http://36.57.175.235:2000/udp/238.1.78.215:7592
桐城综合频道,http://36.57.175.235:2000/udp/238.1.78.28:6152
池州新闻综合,http://36.57.175.235:2000/udp/238.1.78.147:7048
泗县新闻频道,http://36.57.175.204:2000/udp/238.1.78.193:7416
淮北新闻综合,http://36.57.175.235:2000/udp/238.1.78.135:6952
淮北经济生活,http://36.57.175.235:2000/udp/238.1.78.136:6960
湾沚综合频道,http://36.57.175.235:2000/udp/238.1.78.187:7368
祁门综合频道,http://36.57.175.235:2000/udp/238.1.79.14:4224
繁昌新闻综合,http://36.57.175.235:2000/udp/238.1.78.190:7392
芜湖新闻综合,http://36.57.175.204:2000/udp/238.1.78.112:6768
萧县新闻综合,http://36.57.175.199:2000/udp/238.1.79.46:4480
蚌埠生活频道,http://36.57.175.204:2000/udp/238.1.78.181:7320
郎溪新闻频道,http://36.57.175.199:2000/udp/238.1.78.214:7584
金鹰卡通,http://36.57.175.204:2000/udp/238.1.78.100:6672
铜陵教育科技,http://36.57.175.199:2000/udp/238.1.78.141:7000
铜陵新闻综合,http://36.57.175.199:2000/udp/238.1.78.139:6984
阜南新闻综合,http://36.57.175.204:2000/udp/238.1.79.11:4200
霍邱新闻综合,http://36.57.175.235:2000/udp/238.1.78.119:6824
马鞍山科教生活,http://36.57.175.199:2000/udp/238.1.78.77:6488
黄山区融媒,http://36.57.175.235:2000/udp/238.1.78.199:7464
黟县新闻综合,http://36.57.175.204:2000/udp/238.1.78.149:7064

其他频道,#genre#:
CETV1,http://36.57.175.199:2000/udp/238.1.78.158:7136
CETV1,http://36.57.175.199:2000/udp/238.1.78.105:6712
CETV1,http://36.57.175.235:2000/udp/238.1.78.158:7136
CETV1,http://36.57.175.204:2000/udp/238.1.78.158:7136
CETV2,http://36.57.175.199:2000/udp/238.1.78.106:6720
CETV4,http://36.57.175.199:2000/udp/238.1.78.253:7896
IPTV少儿动画,http://36.57.175.199:2000/udp/238.1.78.6:7952
IPTV法治,http://36.57.175.199:2000/udp/238.1.78.5:7944
IPTV谍战剧场,http://36.57.175.199:2000/udp/238.1.78.2:7920
IPTV野外,http://36.57.175.199:2000/udp/238.1.78.4:7936
上海东方财经,http://36.57.175.204:2000/udp/238.1.78.73:6456
上海动漫秀场,http://36.57.175.204:2000/udp/238.1.78.154:7104
上海生活时尚,http://36.57.175.204:2000/udp/238.1.78.155:7112
世界地理,http://36.57.175.204:2000/udp/238.1.79.60:4616
兵器科技,http://36.57.175.204:2000/udp/238.1.79.56:4584
军旅剧场,http://36.57.175.199:2000/udp/238.1.78.11:7992
卡酷卡通,http://36.57.175.204:2000/udp/238.1.78.97:6648
古装剧场,http://36.57.175.199:2000/udp/238.1.78.12:4000
央视台球,http://36.57.175.199:2000/udp/238.1.79.59:4608
女性时尚,http://36.57.175.199:2000/udp/238.1.79.55:4576
好学生,http://36.57.175.204:2000/udp/238.1.78.18:4048
好学生,http://36.57.175.235:2000/udp/238.1.78.18:4048
怀旧剧场,http://36.57.175.204:2000/udp/238.1.79.61:4624
文化精品,http://36.57.175.199:2000/udp/238.1.79.54:4568
电视指南,http://36.57.175.199:2000/udp/238.1.79.53:4560
空中课堂,http://36.57.175.204:2000/udp/238.1.78.107:6728
空中课堂,http://36.57.175.235:2000/udp/238.1.78.107:6728
第一剧场,http://36.57.175.204:2000/udp/238.1.79.63:4640
风云剧场,http://36.57.175.204:2000/udp/238.1.79.62:4632
高尔夫网球,http://36.57.175.199:2000/udp/238.1.79.58:4600
高尔夫网球,http://36.57.175.204:2000/udp/238.1.79.58:4600
高网,http://36.57.175.204:2000/udp/238.1.78.252:7888
高网,http://36.57.175.235:2000/udp/238.1.78.252:7888


404: Not Found
