# 北京市电信 IP速度测试结果 - 有效IP 15/16
# 测试时间: 2026-01-24 12:44:07
# IP:端口 速度 连接时间(ms)
49.232.181.26:6000 478.5KB/s (ping:270ms)
115.171.80.52:1688 395.1KB/s (ping:261ms)
123.249.111.29:7272 216.7KB/s (ping:260ms)
1.92.77.206:7170 197.5KB/s (ping:237ms)
1.203.76.102:8899 193.8KB/s (ping:250ms)
123.249.27.48:3689 184.5KB/s (ping:243ms)
1.94.199.208:14265 184.1KB/s (ping:254ms)
1.94.251.87:4155 183.6KB/s (ping:240ms)
1.94.200.191:8093 181.6KB/s (ping:245ms)
116.205.96.14:9090 179.9KB/s (ping:238ms)
113.44.248.245:10250 179.7KB/s (ping:241ms)
1.92.111.226:7003 176.8KB/s (ping:237ms)
113.44.239.91:13666 169.6KB/s (ping:239ms)
115.171.216.84:4000 128.8KB/s (ping:260ms)
113.44.160.132:3522 68.3KB/s (ping:253ms)

# 失败统计 (1个):
# 221.218.15.56:8888 - 不可用
