# 广东电信 IP速度测试结果 - 有效IP 12/15
# 测试时间: 2026-03-13 12:59:25
# IP:端口 速度 连接时间(ms)
14.19.178.117:4022 554.2KB/s (ping:215ms)
14.221.177.87:4022 543.4KB/s (ping:219ms)
183.21.81.230:4022 537.8KB/s (ping:227ms)
113.65.124.202:9530 511.8KB/s (ping:1245ms)
183.44.113.165:2222 508.4KB/s (ping:221ms)
14.118.74.55:10001 496.2KB/s (ping:222ms)
183.30.201.196:10002 491.9KB/s (ping:221ms)
14.145.187.181:4022 484.3KB/s (ping:2284ms)
119.135.193.13:10000 454.6KB/s (ping:217ms)
113.101.244.30:10000 285.1KB/s (ping:215ms)
113.95.132.166:554 176.8KB/s (ping:226ms)
183.31.11.34:8000 73.9KB/s (ping:220ms)

# 失败统计 (3个):
# 14.145.131.110:8000 - 不可用
# 120.237.43.217:5050 - 不可用
# 14.21.248.143:8888 - 不可用
