# 江苏电信 IP速度测试结果 - 有效IP 15/55
# 测试时间: 2026-02-03 02:14:22
# IP:端口 速度 连接时间(ms)
114.231.139.40:8888 536.3KB/s (ping:211ms)
49.76.130.105:8001 513.9KB/s (ping:216ms)
49.71.226.200:4022 509.0KB/s (ping:212ms)
221.225.105.114:8887 506.4KB/s (ping:213ms)
121.230.235.129:8000 506.0KB/s (ping:189ms)
221.227.218.33:8888 504.7KB/s (ping:193ms)
121.239.179.141:8000 503.8KB/s (ping:215ms)
114.233.64.19:4022 502.2KB/s (ping:209ms)
114.216.50.58:5555 499.5KB/s (ping:200ms)
117.60.126.88:4022 498.9KB/s (ping:219ms)
117.63.248.32:8095 494.9KB/s (ping:219ms)
49.85.18.193:8886 353.9KB/s (ping:212ms)
117.86.48.47:7777 304.1KB/s (ping:204ms)
121.230.171.128:9981 177.5KB/s (ping:218ms)
49.85.97.233:4000 49.4KB/s (ping:207ms)

# 失败统计 (40个):
# 117.85.174.164:1991 - 链接错误
# 117.85.174.164:7014 - 链接错误
# 117.85.174.164:8480 - 链接错误
# 117.85.174.164:801 - 链接错误
# 49.76.111.152:2000 - 链接超时
# 49.76.111.152:9443 - 链接超时
# 49.76.111.152:9869 - 链接超时
# 49.76.111.152:8686 - 链接超时
# 49.76.111.152:83 - 链接超时
# 117.85.174.164:175 - 链接错误
# 49.76.111.152:10003 - 链接超时
# 49.76.111.152:1293 - 链接超时
# 117.85.174.164:1723 - 链接错误
# 117.85.174.164:5007 - 链接错误
# 117.85.174.164:8881 - 链接错误
# 49.76.111.152:7145 - 链接超时
# 117.85.174.164:8089 - 链接错误
# 49.76.111.152:8881 - 链接超时
# 49.76.111.152:876 - 链接超时
# 117.85.174.164:2052 - 链接错误
