# 浙江电信 IP速度测试结果 - 有效IP 7/11
# 测试时间: 2026-03-10 02:05:27
# IP:端口 速度 连接时间(ms)
183.129.136.102:9999 555.1KB/s (ping:228ms)
36.24.65.177:8888 539.0KB/s (ping:227ms)
122.237.92.117:8088 520.7KB/s (ping:204ms)
218.72.70.206:8000 503.5KB/s (ping:227ms)
123.157.31.182:7912 457.4KB/s (ping:248ms)
123.157.31.182:7911 455.8KB/s (ping:252ms)
115.210.130.50:8001 276.0KB/s (ping:228ms)

# 失败统计 (4个):
# 115.199.116.126:9999 - 链接错误
# 183.152.69.176:9999 - HTTP错误
# 115.199.201.12:8000 - 链接超时
# 125.123.234.130:9999 - 链接超时
