# 湖北电信 IP速度测试结果 - 有效IP 13/16
# 测试时间: 2026-03-13 13:00:03
# IP:端口 速度 连接时间(ms)
221.232.243.168:40000 534.9KB/s (ping:214ms)
58.54.52.217:4022 513.9KB/s (ping:1270ms)
119.100.147.185:10000 495.8KB/s (ping:9999ms)
27.21.30.178:8888 488.2KB/s (ping:223ms)
27.17.213.212:8888 315.1KB/s (ping:227ms)
171.83.103.119:9999 293.8KB/s (ping:1257ms)
219.139.231.160:10001 255.1KB/s (ping:212ms)
27.17.212.242:8888 231.0KB/s (ping:233ms)
171.83.102.106:8880 81.9KB/s (ping:235ms)
27.18.153.170:8888 77.8KB/s (ping:218ms)
221.232.41.214:8888 43.6KB/s (ping:225ms)
221.232.40.13:8888 28.6KB/s (ping:231ms)
27.18.50.220:8888 27.2KB/s (ping:1268ms)

# 失败统计 (3个):
# 221.233.96.214:8888 - 链接错误
# 221.233.96.214:88 - 链接错误
# 221.235.194.242:2000 - 不可用
